REG_ANS,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,MODALIDADE,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CIDADE,UF,CEP,DDD,TELEFONE,FAX,EMAIL,REPRESENTANTE,CARGO_REPRESENTANTE,REGIAO_DE_COMERCIALIZACAO,DATA_REGISTRO_ANS,DATA_DESCREDENCIAMENTO,MOTIVO_DO_DESCREDENCIAMENTO,DATA_PROCESSAMENTO
347477,1946395000182,UNIODONTO DE BOTUCATU COOPERATIVA ODONTOLOGICA,UNIODONTO BOTUCATU,Cooperativa Odontológica,RUA JOAO PASSOS,1310,,CENTRO,Botucatu,SP,18600040.0,,,,uniodontobotu@uol.com.br,MARCOS JOSÉ RIBEIRO DIAS,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
406121,3150035000103,UNIODONTO RESENDE - COOPERATIVA ODONTOLOGICA,UNIODONTO RESENDE COOPERATIVA ODONTOLOGICA,Cooperativa Odontológica,RUA ISAAC DAVID HALPERN,64,,COMERCIAL,Resende,RJ,27541140.0,,,33551752.0,uniodonto@uniodontoresende.com.br,ANA PAULA DA COSTA,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
400556,16325896000119,UNIODONTO DE FEIRA DE SANTANA - COOPERATIVA DE TRABALHO ODONTOLÓGICO DE FEIRA DE SANTANA RESP LIMITADA,UNIODONTO FEIRA DE SANTANA,Cooperativa Odontológica,RUA CASTRO ALVES,1511,"2º andar , sala 208 - Edifício Meritum C",CENTRO,Feira de Santana,BA,44001184.0,,,,uniodontofs@ig.com.br,CAMILA DOREA FERNANDES SILVA,DIRETORA PRESIDENTE,6.0,,,,2025-10-20 17:16:59.558180
414891,1141489000184,UNIODONTO - COOPERATIVA ODONTOLOGICA DE CARUARU E REGIÃO AGRESTE DO ESTADO DE PERNAMBUCO,UNIODONTO CARUARU,Cooperativa Odontológica,RUA RÁDIO CLUBE DE PERNAMBUCO,88,,MAURÍCIO DE NASSAU,Caruaru,PE,55012530.0,,,,uniodontocaruaru@hotmail.com,RÔNIO DE MEDEIROS GALINDO,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
315818,82621210000161,UNIODONTO PONTA GROSSA COOPERATIVA ODONTOLÓGICA,UNIODONTO PONTA GROSSA,Cooperativa Odontológica,RUA BARÃO DO CERRO AZUL,618,,CENTRO,Ponta Grossa,PR,84010210.0,,,,uniodontopg@uol.com.br,RUBENS PUPO BANDEIRA,DIRETOR PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
354821,1475150000114,UNIODONTO DE MARÍLIA COOPERATIVA ODONTOLÓGICA,UNIODONTO DE MARILIA,Cooperativa Odontológica,RUA GUANÁS,66,,SEN. SALGADO FILHO,Marília,SP,17502560.0,1,434135665,434135665,uniodonto@terra.com.br,JULIANO OLIVEIRA SILVA,PRESIDENTE,5.0,,,Alternat. à Liquidação - Deliberação de Diretoria Colegiada,2025-10-20 17:16:59.558180
347795,59527440000144,UNIODONTO DE JUNDIAÍ COOPERATIVA ODONTOLÓGICA,UNIODONTO DE JUNDIAÍ,Cooperativa Odontológica,RUA PETRONILHA ANTUNES,211,,CENTRO,Jundiaí,SP,13201080.0,1.0,148059999.0,148059999.0,gerencia@uniodontojundiai.com.br,JOSE CLOVIS TOMAZZONI DE OLIVEIRA,PRESIDENTE,5.0,,,,2025-10-20 17:16:59.558180
373109,826676000139,UNIODONTO DE SERTAOZINHO SP COOPERATIVA ODONTOLOGICA,UNIODONTO DE SERTAOZINHO,Cooperativa Odontológica,RUA CARLOS GOMES,684,,CENTRO,Sertãozinho,SP,14160020.0,1.0,621056700.0,,uniodonto@uniodontosertaozinho.com.br,APARECIDO SILVIO DE SOUZA,REPRESENTANTE,5.0,,,,2025-10-20 17:16:59.558180
306193,2478779000180,UNIODONTO DE BRAGANÇA PAULISTA COOP DE TRABALHO ODONTOLÓGICO,UNIODONTO BRAGANÇA PAULISTA,Cooperativa Odontológica,RUA DR. CANDIDO RODRIGUES,85,SALA 04,CENTRO,Bragança Paulista,SP,12900360.0,11,40335703,40335703,uniodontob@uol.com.br,ADRIANO FRANCO DE OLIVEIRA,PRESIDENTE,5.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
341193,2482449000169,UNIODONTO DE SÃO ROQUE - COOPERATIVA ODONTOLÓGICA,UNIODONTO SÃO ROQUE,Cooperativa Odontológica,RUA RUI BARBOSA,89,CASA,CENTRO,São Roque,SP,18130040.0,11,47842664,47842770,uniodontosr@uol.com.br,WLAMIR ANTONIO BACAR,PRESIDENTE,5.0,,,Pedido de cancelamento,2025-10-20 17:16:59.558180
